Company,Price,Change
b'3M Company (MMM)',b'120.47',b'(-3.04%)'
b'American Express Company (AXP)',b'155.35',b'(-4.37%)'
b'Amgen Inc (AMGN)',b'226.86',b'(-4.53%)'
b'Apple Inc (AAPL)',b'153.84',b'(-5.87%)'
b'Boeing Co (BA)',b'147.31',b'(-7.19%)'
b'Caterpillar Inc (CAT)',b'184.31',b'(-4.20%)'
b'Chevron Corp (CVX)',b'159.41',b'(-1.90%)'
b'Cisco Systems Inc (CSCO)',b'44.11',b'(-4.94%)'
b'Coca-Cola Co (KO)',b'60.47',b'(-3.25%)'
b'Dow Inc (DOW)',b'47.87',b'(-6.01%)'
b'Goldman Sachs Group Inc (GS)',b'328.39',b'(-4.14%)'
b'Home Depot Inc (HD)',b'277.93',b'(-6.59%)'
b'Honeywell International Inc (HON)',b'184.98',b'(-3.67%)'
b'International Business Machines (IBM)',b'127.25',b'(-2.61%)'
b'Intel Corporation (INTC)',b'29.29',b'(-7.19%)'
b'Johnson & Johnson (JNJ)',b'161.33',b'(-2.60%)'
b'JPMorgan Chase & Co (JPM)',b'116.39',b'(-3.47%)'
b'McDonald\xe2\x80\x99s Corporation (MCD)',b'254.33',b'(-2.32%)'
b'Merck & Company Inc (MRK)',b'86.28',b'(-2.13%)'
b'Microsoft Corporation (MSFT)',b'251.99',b'(-5.50%)'
b'Nike Inc (NKE)',b'105.72',b'(-5.93%)'
b'Procter & Gamble Company (PG)',b'138.18',b'(-2.07%)'
b'Salesforce Inc (CRM)',b'158.10',b'(-4.55%)'
b'The Travelers Companies Inc (TRV)',b'162.22',b'(-1.88%)'
b'UnitedHealth Group Incorporated (UNH)',b'513.96',b'(-3.25%)'
b'Verizon Communications Inc (VZ)',b'41.75',b'(-2.36%)'
b'Visa Inc Class A (V)',b'199.67',b'(-3.37%)'
b'Walgreens Boots Alliance Inc (WBA)',b'34.74',b'(-5.16%)'
b'Walmart Inc (WMT)',b'135.22',b'(-2.06%)'
b'Walt Disney Company (DIS)',b'111.76',b'(-3.98%)'
